ID	LoopID	LaneID	StartLocationName	EndLocationName	ProductName	StartPeriodName	EndPeriodName	ScenarioID	StepNumber
1	1	1	DC3	DC1	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
2	1	2	DC1	DC4	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
3	1	3	DC4	DC3	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
4	2	1	DC3	DC1	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
5	2	2	DC1	DC2	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
6	2	3	DC2	DC3	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
7	3	1	DC3	DC1	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
8	3	2	DC1	DC2	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
9	3	3	DC2	DC5	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
10	3	4	DC5	DC6	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
11	3	5	DC6	DC7	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
12	3	6	DC7	DC3	P1	SINGLEPERIOD	SINGLEPERIOD	0	1
